contract_id,klant_id,startdatum,einddatum,abonnementstype,maandelijkse_kosten
CN97797,K0222,2017-12-27,2019-12-14,Zilver,98.23
CN42581,K0223,2017-09-23,2019-09-08,Basis,54.63
CN83183,K0223,2017-09-04,2019-02-20,Platina,31.89
CN71510,K0224,2017-01-28,2017-08-07,Zilver,60.45
CN53371,K0224,2017-09-11,,Platina,45.65
CN40801,K0224,2017-05-23,2018-01-09,Platina,52.26
CN75333,K0225,2017-08-24,2019-05-20,Platina,27.04
CN64046,K0226,2017-06-11,2018-04-08,Basis,28.21
CN83706,K0226,2017-01-19,2017-07-18,Goud,91.21
CN39218,K0227,2017-12-02,2019-09-10,Goud,86.02
CN24945,K0228,2017-06-19,2019-04-14,Goud,77.27
CN48270,K0228,2017-02-19,,Goud,86.39
CN74542,K0229,2017-09-25,2019-04-10,Basis,91.75
CN61497,K0229,2017-03-13,2018-11-02,Zilver,35.0
CN24125,K0229,2017-04-21,2019-01-29,Zilver,77.34
CN87242,K0230,2017-01-24,2017-11-26,Platina,56.59
CN16366,K0230,2017-09-16,2018-07-30,Basis,62.43
CN32760,K0231,2017-08-10,2019-06-15,Zilver,75.35
CN60418,K0231,2017-03-07,2017-12-18,Goud,60.33
CN69355,K0231,2017-08-03,2018-10-11,Goud,97.64
CN81802,K0232,2017-03-12,2018-11-04,Goud,87.45
CN98129,K0233,2017-12-31,2019-02-06,Goud,74.93
CN56168,K0233,2017-03-09,2018-03-06,Goud,76.83
CN65363,K0234,2017-09-03,2019-05-03,Goud,90.2
CN97851,K0234,2017-01-07,2018-12-23,Platina,31.63
CN99573,K0234,2017-01-29,2018-02-17,Zilver,98.68
CN80932,K0235,2017-03-16,2017-11-14,Goud,36.32
CN98542,K0235,2017-01-17,2018-07-18,Basis,69.29
CN47701,K0236,2017-10-15,2018-11-28,Platina,39.01
CN99803,K0236,2017-12-21,2018-08-06,Platina,53.33
CN68073,K0236,2017-06-10,,Goud,36.25
CN35362,K0237,2017-11-21,2019-05-31,Zilver,82.09
CN32779,K0238,2017-08-18,2018-08-14,Basis,34.96
CN44634,K0238,2017-09-21,2018-07-20,Platina,42.33
CN30290,K0239,2017-03-24,,Platina,76.78
CN85061,K0240,2017-03-20,2018-08-12,Goud,59.24
CN34100,K0241,2017-07-03,2018-03-14,Goud,62.03
CN80390,K0241,2017-09-24,2018-05-31,Zilver,53.27
CN53393,K0241,2017-07-26,2018-04-26,Zilver,73.07
CN95105,K0242,2017-05-31,2018-07-08,Platina,99.73
CN94182,K0242,2017-01-05,2017-10-29,Platina,39.23
CN24860,K0243,2017-11-15,2019-01-18,Goud,50.51
CN77746,K0243,2017-07-17,2018-10-02,Goud,21.98
CN48854,K0243,2017-07-11,2019-06-17,Platina,58.94
CN80513,K0244,2017-04-09,2018-08-30,Basis,33.39
CN37941,K0244,2017-10-01,2018-04-06,Zilver,73.63
CN67047,K0244,2017-12-17,2019-08-23,Zilver,63.02
CN19600,K0245,2017-02-06,,Goud,23.03
CN39837,K0245,2017-01-28,2018-01-25,Basis,66.0
CN12213,K0245,2017-05-13,2018-12-31,Platina,54.64
CN86756,K0246,2017-12-11,2018-10-08,Basis,80.48
CN99899,K0246,2017-01-24,2017-10-05,Basis,43.19
CN96602,K0247,2017-11-07,2018-08-02,Platina,50.51
CN61248,K0247,2017-01-16,2018-11-12,Zilver,30.91
CN11461,K0248,2017-06-01,2018-04-24,Goud,96.59
CN61653,K0248,2017-10-11,2018-08-31,Basis,65.82
CN94663,K0248,2017-10-03,2018-06-27,Goud,36.94
CN33770,K0249,2017-03-14,2018-02-21,Goud,35.55
CN19587,K0249,2017-12-10,2018-08-02,Platina,71.57
CN73857,K0249,2017-05-29,2018-02-01,Zilver,78.05
CN91201,K0250,2017-07-02,2018-05-09,Zilver,28.0
CN96431,K0250,2017-02-05,2018-02-18,Platina,46.27
CN66139,K0251,2017-12-22,2018-11-23,Goud,84.62
CN93995,K0251,2017-03-28,2017-09-28,Zilver,76.98
CN70666,K0252,2017-05-22,2018-11-21,Goud,90.23
CN33038,K0252,2017-08-17,2019-02-15,Platina,64.13
CN35746,K0253,2017-11-07,2018-07-28,Zilver,91.3
CN92788,K0253,2017-05-15,2018-01-28,Basis,87.97
CN82298,K0253,2017-01-16,2018-09-02,Zilver,92.5
CN39269,K0254,2017-10-06,2019-07-31,Zilver,49.27
CN75820,K0254,2017-10-29,2019-02-18,Basis,51.74
CN28398,K0255,2017-12-06,2019-02-03,Zilver,80.58
CN73373,K0256,2017-03-23,2018-03-21,Zilver,78.87
CN44649,K0256,2017-07-03,2018-02-09,Platina,38.54
CN69591,K0257,2017-04-30,2017-12-09,Goud,51.05
CN78337,K0257,2017-01-24,2017-09-01,Goud,28.26
CN59613,K0258,2017-05-21,2018-08-13,Zilver,50.13
CN39215,K0258,2017-07-07,2018-03-23,Platina,97.81
CN73191,K0258,2017-09-22,2019-05-10,Goud,58.95
CN20104,K0259,2017-01-04,2018-11-28,Platina,33.25
CN88908,K0259,2017-09-21,2019-01-01,Zilver,32.59
CN73113,K0259,2017-03-02,2018-04-21,Goud,77.62
CN63857,K0260,2017-09-03,2019-07-05,Zilver,71.78
CN77193,K0260,2017-01-12,,Zilver,30.78
CN77717,K0260,2017-01-21,,Goud,93.8
CN38389,K0261,2017-11-03,2018-05-21,Goud,95.78
CN63840,K0261,2017-08-18,2019-06-11,Zilver,37.55
CN99861,K0262,2017-03-15,2018-03-16,Goud,33.42
CN60523,K0262,2017-06-25,2019-03-31,Basis,38.39
CN89365,K0262,2017-03-09,,Platina,86.12
CN79655,K0263,2017-04-01,2019-01-28,Basis,90.22
CN80685,K0264,2017-03-02,2017-12-02,Zilver,92.16
CN79444,K0264,2017-01-01,2018-09-14,Goud,89.99
CN59969,K0264,2017-08-08,2018-09-26,Platina,83.16
CN40475,K0265,2017-10-29,2018-08-05,Goud,58.17
CN10716,K0265,2017-02-12,2018-05-28,Platina,40.62
CN36924,K0266,2017-01-04,2018-12-20,Basis,50.0
CN95403,K0266,2017-12-19,2019-05-06,Basis,32.38
CN90200,K0266,2017-10-27,2019-01-09,Platina,65.17
CN83080,K0267,2017-12-15,2019-07-24,Platina,64.17
CN50193,K0267,2017-09-05,2018-09-03,Platina,40.3
CN68536,K0268,2017-06-26,2019-02-03,Basis,79.83
CN82165,K0268,2017-12-25,2018-12-05,Platina,82.89
CN29048,K0268,2017-11-11,2018-07-02,Basis,84.35
CN20490,K0269,2017-11-04,,Goud,37.74
CN78289,K0269,2017-11-08,2018-06-14,Platina,69.12
CN67536,K0270,2017-12-31,2018-08-26,Zilver,71.22
CN88579,K0270,2017-01-06,2018-01-27,Goud,35.58
CN95854,K0271,2017-09-22,2018-11-13,Basis,48.78
CN56285,K0271,2017-01-01,,Goud,82.37
CN18993,K0271,2017-12-09,2019-07-16,Zilver,61.42
CN46242,K0272,2017-10-09,2019-01-23,Goud,47.8
CN44223,K0273,2017-11-07,2018-11-21,Platina,65.99
CN54560,K0274,2017-07-28,2019-06-26,Basis,60.25
CN59424,K0275,2017-09-20,2018-12-07,Goud,75.54
CN86916,K0276,2017-09-05,2018-11-08,Platina,74.53
CN38885,K0276,2017-01-15,2018-11-19,Basis,50.61
CN77699,K0276,2017-12-13,2019-02-01,Platina,96.44
CN54825,K0277,2017-01-05,2018-03-30,Basis,51.91
CN85197,K0277,2017-02-08,2018-02-05,Goud,37.49
CN36170,K0277,2017-05-18,2018-05-20,Zilver,59.92
CN91080,K0278,2017-05-04,2018-07-29,Zilver,86.8
CN96956,K0279,2017-03-21,2018-01-04,Basis,74.06
CN58653,K0279,2017-09-10,2018-03-15,Basis,87.84
CN76995,K0280,2017-06-11,2019-04-26,Goud,59.26
CN65466,K0280,2017-05-24,2019-01-01,Zilver,24.33
CN32911,K0280,2017-09-02,2018-04-03,Platina,88.83
CN37623,K0281,2017-03-03,2019-02-11,Basis,20.95
CN44452,K0281,2017-07-14,2018-04-23,Goud,34.97
CN75374,K0282,2017-05-18,2019-03-11,Goud,49.27
CN62506,K0283,2017-04-18,2018-12-18,Goud,49.21
CN99916,K0283,2017-05-24,2019-02-24,Zilver,98.34
CN35698,K0284,2017-02-21,2018-05-23,Platina,88.5
CN27625,K0285,2017-03-18,2019-01-11,Zilver,53.72
CN83680,K0286,2017-09-22,2019-09-18,Platina,44.0
CN43330,K0286,2017-10-18,2018-06-03,Zilver,24.8
CN57226,K0286,2017-09-01,2018-06-06,Goud,40.78
CN99074,K0287,2017-10-13,2018-12-30,Platina,29.7
CN47304,K0287,2017-11-07,2018-11-25,Zilver,98.35
CN68580,K0287,2017-07-01,2018-11-25,Platina,81.98
CN93962,K0288,2017-07-15,2018-10-31,Zilver,89.46
CN55039,K0289,2017-08-04,2019-03-21,Basis,26.33
CN89349,K0289,2017-04-27,2018-09-10,Goud,76.83
CN78280,K0290,2017-07-22,2018-10-22,Goud,79.83
CN40753,K0290,2017-08-19,2019-04-14,Basis,30.0
CN62041,K0290,2017-12-05,2019-02-15,Basis,36.85
CN13455,K0291,2017-02-18,2017-10-21,Platina,63.87
CN61097,K0292,2017-09-26,2018-06-18,Zilver,26.74
CN26569,K0292,2017-06-08,2018-07-27,Goud,55.45
CN52624,K0293,2017-09-27,,Goud,88.83
CN80685,K0294,2017-08-28,2018-11-29,Zilver,97.56
CN93824,K0294,2017-04-01,2019-01-08,Platina,61.88
CN67915,K0295,2017-06-08,2018-11-25,Zilver,84.38
CN10012,K0295,2017-06-07,2018-12-13,Zilver,44.29
CN74478,K0295,2017-09-25,2018-08-10,Platina,62.81
CN10946,K0296,2017-06-03,2017-12-09,Goud,67.76
CN31400,K0296,2017-10-08,2019-04-23,Platina,51.58
CN65343,K0297,2017-11-27,2019-06-29,Zilver,41.04
CN79722,K0297,2017-11-17,2019-01-16,Goud,42.77
CN47957,K0297,2017-05-18,2019-01-10,Basis,34.59
CN74486,K0298,2017-11-23,2019-08-31,Goud,76.04
CN23405,K0299,2017-06-14,2017-12-30,Basis,34.88
CN29750,K0300,2017-05-18,2018-03-22,Basis,38.62
CN75325,K0300,2017-01-08,2018-11-24,Platina,44.93
CN61435,K0301,2017-08-26,2018-03-26,Zilver,24.48
CN11653,K0301,2017-02-06,2018-11-29,Goud,85.38
CN14392,K0302,2018-01-01,2019-03-11,Platina,39.77
CN99318,K0303,2017-08-24,2018-05-27,Zilver,57.83
CN82034,K0304,2017-06-15,2018-05-23,Basis,79.58
CN16827,K0304,2017-09-24,2018-07-26,Goud,35.9
CN31936,K0305,2017-04-22,2018-02-11,Platina,45.96
CN15504,K0305,2017-05-22,2018-03-20,Zilver,20.71
CN21728,K0305,2017-10-25,2019-08-22,Zilver,49.71
CN91937,K0306,2017-03-22,,Goud,94.47
CN40497,K0307,2017-01-31,2018-07-29,Basis,30.07
CN12798,K0308,2017-10-13,2019-04-01,Platina,78.66
CN15175,K0308,2017-12-19,2019-07-08,Zilver,40.06
CN34461,K0309,2017-12-28,2019-09-17,Platina,35.18
CN88470,K0309,2017-10-06,2019-03-26,Platina,42.03
CN44517,K0310,2017-03-24,2017-11-29,Platina,43.65
CN12453,K0310,2017-10-05,2019-04-13,Platina,78.69
CN18302,K0310,2017-11-14,2019-05-20,Zilver,45.66
CN30202,K0311,2017-10-03,2019-05-02,Platina,81.26
CN78576,K0311,2017-11-10,2019-02-22,Goud,28.84
CN14099,K0311,2017-12-04,,Zilver,34.29
CN60934,K0312,2017-02-24,2019-01-02,Basis,65.68
CN38930,K0313,2017-09-08,2019-08-27,Goud,23.93
CN20480,K0313,2017-11-07,,Zilver,72.46
CN17641,K0313,2017-08-28,2018-04-27,Platina,85.76
CN20215,K0314,2017-05-17,,Basis,86.76
CN34832,K0314,2017-04-21,,Zilver,62.53
CN83156,K0314,2017-04-09,2019-03-28,Zilver,64.67
CN31864,K0315,2017-02-24,2018-08-24,Platina,90.63
CN88632,K0315,2017-04-03,2018-11-15,Zilver,62.71
CN64046,K0316,2017-06-30,2018-11-14,Goud,87.59
CN83812,K0316,2017-11-21,2019-08-03,Goud,68.67
CN69297,K0317,2017-04-20,2018-11-05,Goud,48.8
CN88087,K0317,2017-08-18,,Basis,98.64
CN39083,K0317,2017-01-09,2018-12-20,Goud,20.53
CN77013,K0318,2017-06-11,2017-12-30,Goud,93.53
CN28141,K0319,2017-10-20,,Platina,48.45
CN49361,K0319,2017-05-16,2018-11-22,Zilver,38.64
CN52558,K0319,2017-02-17,2018-09-29,Zilver,78.74
CN49373,K0320,2017-03-30,2019-02-07,Basis,67.62
CN53829,K0320,2017-01-20,,Basis,93.75
CN39716,K0321,2017-08-11,2019-04-09,Basis,89.58
CN78731,K0321,2017-12-01,2018-06-10,Platina,24.33
CN98294,K0322,2017-06-13,2018-05-12,Zilver,32.26
CN47982,K0323,2017-07-21,2019-04-18,Basis,37.77
CN16463,K0323,2017-07-21,2018-06-17,Basis,58.07
CN27088,K0323,2017-10-08,2019-05-19,Platina,60.15
CN78714,K0324,2017-09-04,2018-09-21,Zilver,64.89
CN85499,K0325,2017-05-05,2018-01-13,Platina,45.87
CN55157,K0326,2017-02-27,2018-10-23,Goud,35.24
CN90769,K0327,2017-12-02,2018-06-24,Zilver,99.01
CN58997,K0327,2017-08-15,2018-07-10,Zilver,35.97
CN91396,K0327,2017-03-21,2017-12-13,Basis,39.44
CN71759,K0328,2017-05-28,2017-12-08,Basis,44.41
CN78585,K0329,2017-06-19,2018-07-18,Zilver,36.3
CN97590,K0330,2017-10-08,2019-08-13,Zilver,75.61
CN17878,K0330,2017-01-10,2018-07-29,Basis,40.44
CN96556,K0331,2017-04-13,,Basis,25.33
CN95119,K0331,2017-05-19,2018-11-18,Basis,43.4
CN73525,K0332,2017-04-29,2018-11-19,Basis,92.31
CN70029,K0332,2017-11-02,,Zilver,60.05
CN61563,K0333,2017-12-31,,Goud,46.69
CN49626,K0333,2017-03-22,2017-10-06,Goud,48.43
CN60747,K0333,2017-05-01,2019-03-25,Basis,70.06
CN96105,K0334,2017-10-12,2019-01-21,Goud,91.77
CN85090,K0335,2017-02-14,2018-09-08,Zilver,53.39
CN27271,K0336,2017-08-07,2018-12-19,Goud,55.93
CN50501,K0337,2017-12-01,2018-10-18,Zilver,89.01
CN29025,K0338,2017-12-28,2019-12-14,Platina,99.65
CN29073,K0338,2017-12-02,2018-11-08,Basis,34.73
CN49760,K0338,2017-01-16,2018-06-06,Platina,96.9
CN34215,K0339,2017-11-23,2019-02-26,Zilver,28.54
CN40266,K0339,2017-01-14,2018-04-12,Zilver,67.71
CN89260,K0340,2017-01-14,,Platina,30.73
CN28024,K0340,2017-08-29,2019-03-14,Platina,59.32
CN11967,K0340,2017-03-25,2018-04-06,Platina,81.16
CN18668,K0341,2017-07-31,2018-09-11,Zilver,80.62
CN69971,K0341,2017-04-01,2018-12-21,Platina,75.03
CN61662,K0342,2017-08-07,2019-03-24,Platina,77.62
CN69193,K0343,2017-10-20,2019-10-19,Basis,61.65
CN61853,K0343,2017-08-22,2018-04-02,Zilver,61.5
CN67613,K0343,2017-01-21,2018-08-20,Basis,35.19
CN17149,K0344,2017-06-05,2018-09-20,Platina,43.55
CN69204,K0344,2017-12-20,2019-11-29,Platina,86.39
CN52396,K0345,2017-09-14,2018-07-06,Zilver,51.45
CN21820,K0346,2017-01-13,2018-01-11,Zilver,90.6
CN26193,K0346,2017-05-09,2018-10-02,Zilver,77.47
CN60343,K0347,2017-02-28,2018-11-30,Basis,61.91
CN32398,K0348,2017-09-19,2018-08-28,Platina,23.51
CN16725,K0348,2017-06-21,2018-05-20,Zilver,34.31
CN33684,K0348,2017-08-03,2018-12-11,Platina,43.1
CN75225,K0349,2017-03-09,,Goud,20.98
CN87183,K0350,2017-10-06,2018-04-09,Platina,39.03
CN88656,K0350,2017-12-04,2019-10-02,Platina,26.35
CN29432,K0351,2017-05-06,2018-08-13,Zilver,23.91
CN89073,K0352,2017-12-01,,Basis,73.36
CN31146,K0353,2017-06-19,,Platina,99.5
CN85886,K0353,2017-12-11,2019-03-27,Zilver,97.3
CN59668,K0354,2017-01-19,2017-10-21,Goud,49.49
CN27635,K0354,2017-02-04,2018-10-14,Basis,43.43
CN37400,K0355,2017-12-22,2019-03-28,Platina,61.97
CN89269,K0356,2017-01-30,2017-11-17,Basis,58.69
CN85385,K0356,2017-12-28,2019-04-16,Goud,40.77
CN92818,K0356,2017-11-16,2019-05-12,Platina,61.58
CN35369,K0357,2017-09-10,2018-09-09,Zilver,76.69
CN37175,K0357,2017-01-01,,Basis,79.0
CN93558,K0358,2017-08-01,,Goud,64.83
CN18891,K0358,2017-04-19,2017-10-27,Goud,40.35
CN24920,K0358,2017-06-07,2018-10-07,Goud,81.36
CN35430,K0359,2017-06-20,2018-12-01,Basis,86.56
CN14660,K0359,2017-06-19,2018-11-27,Platina,93.29
CN80381,K0359,2017-11-27,2018-10-12,Platina,91.36
CN49235,K0360,2017-08-25,2019-04-20,Basis,86.81
CN99848,K0360,2017-10-17,2019-03-04,Basis,36.66
CN54453,K0361,2017-07-01,2018-03-05,Goud,87.26
CN25315,K0361,2017-07-12,2019-07-09,Platina,34.99
CN75149,K0362,2017-12-28,2019-05-14,Goud,53.11
CN49625,K0362,2017-05-02,2018-11-13,Goud,37.29
CN68166,K0363,2017-02-27,2018-09-13,Zilver,93.07
CN73369,K0364,2017-01-13,2018-11-18,Zilver,35.22
CN22878,K0364,2017-09-26,2019-02-05,Zilver,81.56
CN78464,K0364,2017-09-22,2018-08-03,Basis,56.75
CN16047,K0365,2017-01-03,2018-05-16,Basis,46.66
CN37504,K0366,2017-09-24,,Goud,71.11
CN97965,K0367,2017-04-13,2018-04-25,Goud,81.82
CN91650,K0367,2017-03-02,2018-06-04,Goud,29.16
CN45527,K0368,2017-09-21,2018-07-02,Goud,63.95
CN90381,K0368,2017-03-14,2018-06-27,Zilver,25.7
CN98538,K0368,2017-06-23,,Basis,57.66
CN88134,K0369,2017-02-24,,Platina,51.35
CN35971,K0370,2017-11-19,2019-08-17,Goud,46.59
CN22178,K0370,2018-01-01,,Platina,65.42
CN71000,K0370,2017-12-24,,Goud,74.76
CN61390,K0371,2017-04-29,2018-06-12,Goud,93.03
CN13966,K0371,2017-04-04,2018-09-04,Goud,56.26
CN46996,K0372,2017-09-01,2018-06-23,Platina,87.66
CN24022,K0373,2017-11-06,2018-09-12,Platina,85.4
CN64190,K0373,2017-06-16,2018-02-23,Platina,52.07
CN54658,K0374,2017-11-14,2019-01-17,Platina,50.71
CN54852,K0375,2017-12-22,2019-09-04,Platina,65.38
CN85260,K0376,2017-12-22,2019-02-16,Basis,79.15
CN22799,K0376,2017-09-07,2018-07-01,Platina,46.03
CN24253,K0376,2017-08-16,2018-08-11,Platina,25.57
CN28208,K0377,2017-11-02,2019-05-24,Basis,27.24
CN48207,K0377,2017-10-25,2018-04-23,Zilver,56.24
CN99071,K0377,2017-07-19,2019-04-17,Goud,43.98
CN76902,K0378,2017-08-11,2019-01-25,Basis,68.92
CN81943,K0378,2017-07-26,2018-06-01,Basis,49.54
CN40833,K0379,2017-01-01,2018-07-02,Goud,89.25
CN67041,K0380,2017-12-26,2019-08-01,Platina,52.48
CN82800,K0380,2017-10-07,2018-11-07,Platina,31.13
CN19403,K0381,2017-07-04,2019-03-03,Zilver,30.74
CN27796,K0381,2017-11-28,2018-06-12,Platina,72.63
CN69558,K0382,2017-03-12,2018-11-07,Platina,69.86
CN89242,K0383,2017-08-06,2019-05-08,Zilver,34.86
CN45291,K0383,2017-01-04,2018-11-25,Zilver,76.97
CN58310,K0383,2017-07-30,,Basis,65.45
CN78997,K0384,2017-10-25,2019-08-29,Basis,31.37
CN92662,K0385,2017-08-27,,Basis,39.62
CN55029,K0385,2017-12-06,2018-08-22,Goud,69.04
CN53452,K0386,2017-01-06,2018-10-28,Platina,65.92
CN14630,K0386,2017-08-04,2019-01-27,Goud,43.14
CN72018,K0386,2017-12-22,2019-04-27,Goud,24.91
CN91830,K0387,2017-03-28,2017-11-15,Goud,84.71
CN46418,K0387,2017-01-14,2018-05-02,Zilver,60.45
CN11861,K0387,2017-05-10,2018-03-21,Goud,88.63
CN58466,K0388,2017-02-27,2018-02-20,Zilver,72.73
CN79125,K0388,2017-03-31,2018-06-21,Zilver,58.79
CN30204,K0388,2017-01-17,2018-07-02,Zilver,67.64
CN31926,K0389,2017-07-31,2019-02-23,Platina,78.08
CN25203,K0389,2017-04-18,,Goud,80.44
CN79798,K0390,2017-03-27,2019-01-11,Goud,58.1
CN66981,K0391,2017-07-14,2019-02-13,Zilver,62.44
CN99505,K0392,2017-05-28,2019-02-26,Goud,96.94
CN95467,K0393,2017-02-19,2019-02-13,Platina,68.84
CN86569,K0394,2017-06-21,2018-09-20,Basis,40.43
CN87165,K0394,2017-07-20,2019-05-03,Zilver,78.75
CN11386,K0395,2017-09-24,2019-03-03,Zilver,45.06
CN99849,K0396,2017-01-05,,Basis,62.02
CN14461,K0396,2017-08-17,2019-02-07,Goud,40.15
CN93634,K0396,2017-01-13,,Zilver,96.04
CN94922,K0397,2017-12-29,,Zilver,50.08
CN96570,K0398,2017-04-05,2018-01-23,Goud,43.57
CN97500,K0398,2017-02-08,2018-11-14,Goud,81.55
CN18177,K0398,2017-06-15,2018-09-01,Basis,42.18
CN44690,K0399,2017-07-18,2018-12-20,Goud,96.45
CN33388,K0399,2017-04-02,,Zilver,68.82
CN94323,K0400,2017-09-09,2018-06-27,Platina,37.47
CN19229,K0400,2017-02-24,2018-11-18,Basis,22.79
CN29510,K0400,2017-10-20,2018-12-30,Basis,91.72
CN53231,K0401,2017-11-24,2018-05-23,Platina,41.31
CN62941,K0401,2017-07-20,2018-01-19,Platina,58.25
CN80163,K0401,2017-02-05,,Platina,29.7
CN54572,K0402,2017-06-20,2018-10-23,Basis,49.23
CN33149,K0402,2017-02-11,2018-11-23,Goud,71.82
CN23994,K0403,2017-01-21,2018-08-17,Goud,75.67
CN28342,K0403,2017-11-19,2019-05-20,Platina,78.83
CN18256,K0403,2017-01-19,,Zilver,59.14
CN12151,K0404,2017-11-26,2019-04-05,Platina,97.33
CN37745,K0404,2017-01-19,,Basis,52.44
CN40537,K0404,2017-12-01,2019-11-16,Zilver,79.28
CN91051,K0405,2017-01-19,2017-12-09,Basis,57.7
CN22752,K0406,2017-05-05,,Basis,92.37
CN23937,K0407,2017-11-09,2018-10-29,Basis,85.42
CN36560,K0407,2017-02-28,2019-01-18,Zilver,25.05
CN37948,K0408,2017-06-22,2019-02-03,Zilver,45.73
CN64415,K0408,2017-01-24,2018-01-16,Basis,41.91
CN86282,K0409,2017-12-23,2019-07-04,Platina,39.49
CN12048,K0410,2017-03-10,2017-12-17,Platina,82.21
CN87821,K0411,2017-02-11,,Basis,76.54
CN37021,K0411,2017-05-26,2019-01-22,Platina,75.39
CN32878,K0412,2017-11-24,2019-02-24,Platina,39.14
CN21537,K0413,2017-12-21,2018-07-27,Platina,68.96
CN35153,K0413,2017-11-18,2019-03-21,Basis,64.62
CN80742,K0413,2017-03-02,2019-02-22,Goud,89.02
CN35391,K0414,2017-04-23,2019-02-07,Zilver,42.11
CN30940,K0414,2017-02-27,2018-01-25,Platina,59.8
CN66973,K0414,2017-12-10,,Goud,42.81
CN33053,K0415,2017-06-21,,Basis,93.99
CN40841,K0415,2017-03-22,2017-10-17,Basis,25.67
CN24435,K0416,2017-08-16,2019-01-11,Goud,38.41
CN59221,K0416,2017-06-16,,Platina,89.59
CN67129,K0416,2017-04-23,2018-01-03,Platina,24.35
CN35448,K0417,2017-04-21,2019-01-26,Goud,30.91
CN84536,K0418,2017-07-03,2018-10-02,Zilver,22.57
CN32439,K0418,2017-01-31,2018-05-13,Platina,56.69
CN93623,K0418,2017-06-25,2018-08-04,Zilver,83.16
CN38369,K0419,2017-03-29,,Platina,88.98
CN66113,K0419,2017-10-30,2019-08-25,Goud,21.16
CN87564,K0419,2017-05-07,2018-07-14,Zilver,91.35
CN71689,K0420,2017-10-21,2018-04-24,Basis,23.2
CN22844,K0421,2017-09-16,2018-04-18,Platina,58.34
CN63296,K0421,2017-08-20,2019-07-08,Basis,75.45
CN21892,K0421,2017-04-22,2018-03-03,Zilver,71.81
CN86501,K0422,2017-09-03,2019-01-08,Platina,88.63
CN58551,K0423,2017-08-21,2019-06-06,Platina,34.8
CN53634,K0424,2017-08-26,2018-02-23,Basis,50.79
CN90281,K0424,2017-09-29,2018-04-30,Goud,75.84
CN54000,K0424,2017-10-05,2018-11-01,Basis,69.64
CN24544,K0425,2017-01-29,2019-01-06,Goud,91.04
CN32972,K0425,2017-07-16,2019-01-21,Basis,49.25
CN53899,K0425,2017-11-28,2018-08-03,Zilver,31.07
CN39548,K0426,2017-10-04,2018-07-27,Zilver,80.25
CN18305,K0427,2017-06-30,2018-09-26,Platina,42.17
CN79717,K0427,2017-07-10,2018-12-25,Basis,57.61
CN18601,K0428,2017-09-30,2019-01-22,Goud,83.99
CN47797,K0428,2017-04-07,,Platina,91.84
CN75054,K0428,2017-02-09,2017-11-27,Basis,75.77
CN99443,K0429,2017-04-15,2019-03-29,Basis,43.45
CN12815,K0430,2017-03-09,2019-01-03,Platina,79.02
CN78107,K0430,2017-05-30,,Zilver,86.8
CN52769,K0430,2017-11-27,2019-05-04,Goud,72.46
CN84350,K0431,2017-10-31,2019-10-23,Platina,56.64
CN58745,K0431,2017-03-09,2018-07-15,Goud,38.14
CN91085,K0432,2017-01-25,2017-12-22,Platina,96.5
CN97340,K0432,2017-03-24,2019-03-22,Zilver,87.15
CN67788,K0433,2017-03-24,2018-05-21,Goud,65.96
CN55068,K0434,2017-07-09,2018-07-12,Basis,73.24
CN25923,K0434,2017-03-17,2018-09-29,Zilver,62.69
CN30454,K0435,2017-07-27,2019-06-18,Platina,94.22
CN47988,K0436,2017-10-07,2019-09-06,Goud,57.91
CN24721,K0437,2017-12-08,2018-11-03,Platina,47.09
CN62642,K0437,2017-09-03,2018-04-12,Basis,44.65
CN89711,K0437,2017-11-13,2018-12-23,Basis,46.11
CN20956,K0438,2017-04-10,2019-03-30,Goud,35.66
CN61697,K0438,2017-10-03,2019-07-01,Basis,98.07
CN57325,K0438,2017-04-10,2019-02-21,Basis,92.68
CN55209,K0439,2017-03-17,2018-11-24,Goud,20.98
CN68224,K0439,2017-06-29,2018-11-06,Basis,37.26
CN64289,K0440,2017-08-01,2019-04-26,Platina,78.29
CN78852,K0440,2017-03-13,2017-12-06,Goud,57.97
CN63668,K0440,2017-06-21,2018-02-23,Platina,27.08
CN27947,K0441,2017-05-20,2019-01-14,Platina,76.82
CN15535,K0441,2017-04-13,2018-04-18,Goud,64.31
CN10320,K0441,2017-06-04,2018-10-08,Platina,37.96
CN97282,K0442,2017-05-15,2018-09-14,Platina,29.93
CN46335,K0443,2017-08-02,2018-07-31,Zilver,22.28
CN84130,K0443,2017-09-10,2018-05-16,Goud,66.49
CN85400,K0444,2017-05-13,2019-03-11,Basis,49.86
CN70429,K0444,2017-01-09,2018-03-30,Basis,31.69
CN93394,K0445,2017-03-11,2018-09-07,Goud,48.89
CN92317,K0445,2017-07-02,2018-02-16,Basis,61.11
CN51446,K0445,2017-04-04,2018-01-05,Zilver,63.5
CN86027,K0446,2017-06-04,2018-09-04,Goud,27.67
CN73556,K0446,2017-06-30,,Goud,49.84
CN30257,K0446,2017-07-30,2019-01-09,Zilver,28.19
CN20013,K0447,2017-04-24,2018-05-01,Basis,53.39
CN57522,K0447,2017-03-01,2018-01-09,Platina,47.86
CN49935,K0447,2017-03-13,2018-12-05,Goud,33.78
CN50295,K0448,2017-03-02,2018-04-13,Zilver,75.04
CN24643,K0449,2017-04-18,2018-02-25,Platina,75.27
CN14298,K0450,2017-01-10,2018-11-16,Basis,35.71
